query_id,mode,hit_rate@5,precision@5,recall@5,mrr@5,ndcg@5,relevant_retrieved,total_relevant_in_pool,latency_ms
slack_01,bm25,1.0,0.4,1.0,1.0,0.9197,2,2,308.43
slack_01,semantic,1.0,0.4,1.0,1.0,1.0,2,2,135.3
slack_01,hybrid,1.0,0.4,1.0,1.0,0.9197,2,2,47.37
slack_02,bm25,1.0,0.4,1.0,1.0,1.0,2,2,38.26
slack_02,semantic,1.0,0.4,1.0,1.0,1.0,2,2,47.42
slack_02,hybrid,1.0,0.4,1.0,1.0,1.0,2,2,67.24
slack_03,bm25,1.0,0.6,1.0,0.5,0.7328,3,3,53.16
slack_03,semantic,1.0,0.6,1.0,1.0,1.0,3,3,60.04
slack_03,hybrid,1.0,0.6,1.0,1.0,0.9675,3,3,50.77
drive_01,bm25,1.0,0.6,1.0,1.0,0.9675,3,3,46.78
drive_01,semantic,1.0,0.6,1.0,0.5,0.6797,3,3,50.8
drive_01,hybrid,1.0,0.6,1.0,1.0,0.9675,3,3,39.51
drive_02,bm25,1.0,0.6,1.0,1.0,0.906,3,3,40.06
drive_02,semantic,1.0,0.6,1.0,1.0,0.9675,3,3,37.78
drive_02,hybrid,1.0,0.6,1.0,1.0,0.906,3,3,58.42
drive_03,bm25,1.0,0.4,1.0,1.0,0.8772,2,2,35.01
drive_03,semantic,1.0,0.4,1.0,1.0,0.8772,2,2,46.96
drive_03,hybrid,1.0,0.4,1.0,1.0,0.9197,2,2,42.9
drive_04,bm25,1.0,0.6,1.0,1.0,1.0,3,3,46.57
drive_04,semantic,1.0,0.6,1.0,1.0,1.0,3,3,53.85
drive_04,hybrid,1.0,0.6,1.0,1.0,1.0,3,3,38.3
github_01,bm25,1.0,0.6,1.0,1.0,1.0,3,3,38.28
github_01,semantic,1.0,0.6,1.0,1.0,1.0,3,3,51.92
github_01,hybrid,1.0,0.6,1.0,1.0,1.0,3,3,39.99
github_02,bm25,1.0,0.2,1.0,1.0,1.0,1,1,33.79
github_02,semantic,1.0,0.2,1.0,1.0,1.0,1,1,47.01
github_02,hybrid,1.0,0.2,1.0,1.0,1.0,1,1,48.43
cross_01,bm25,1.0,0.4,0.6667,1.0,0.7654,2,3,55.04
cross_01,semantic,1.0,0.6,1.0,1.0,0.9675,3,3,38.83
cross_01,hybrid,1.0,0.6,1.0,1.0,0.9675,3,3,77.07
